Region ,CharterApplicationId ,Year ,CouncilNumber ,SequenceNumber ,Timestamp  ,DateSubmitted ,PmpOverallPoints ,PmpOverallLevel ,LevelOrdeal2021YouthFinal ,LevelOrdeal2021YoungAdultFinal ,LevelOrdeal2021AdultFinal ,LevelBrotherhood2021YouthFinal ,LevelBrotherhood2021YoungAdultFinal ,LevelBrotherhood2021AdultFinal ,LevelVigil2021YouthFinal ,LevelVigil2021YoungAdultFinal ,LevelVigil2021AdultFinal ,InductedOrdeal2021YouthFinal ,InductedOrdeal2021AdultFinal ,InductedBrotherhood2021YouthFinal ,InductedBrotherhood2021AdultFinal ,InductedVigil2021YouthFinal ,InductedVigil2021AdultFinal ,ElectedCurrent2021YouthFinal ,ElectedCurrent2021AdultFinal ,ElectedPrevious2021YouthFinal ,ElectedPrevious2021AdultFinal ,UnitCount2021Final ,Item1ElectionsConducted2021 ,Item1ElectionsNoEligibleScouts2021 ,Item1VisitsConducted2021 ,Item3ActivatedYouth2021 ,Item8CapitalContributionsCash ,Item8CapitalContributionsMaterial ,Item8EndowmentContributions ,Item8FosContributions ,Item9ServiceHours2021
G      ,                3084 ,2021 ,          322 ,             1 ,12/13/2021 ,12/12/2021    ,              22 ,High Performing ,                       20 ,                             1 ,                        7 ,                            14 ,                                  3 ,                            12 ,                       2 ,                            1 ,                      14 ,                          15 ,                           2 ,                                8 ,                                2 ,                          2 ,                          1 ,                          21 ,                           1 ,                            2 ,                            0 ,                48 ,                         15 ,                                 6 ,                       9 ,                     12 ,0.00                          ,0.00                              ,0.00                        ,"2,500.00"            ,                  120
G      ,                3087 ,2021 ,          695 ,             1 ,12/13/2021 ,12/12/2021    ,              25 ,High Performing ,                       22 ,                             4 ,                       11 ,                             7 ,                                  4 ,                            14 ,                       1 ,                            1 ,                      11 ,                          18 ,                           4 ,                                2 ,                                2 ,                          1 ,                          2 ,                          16 ,                           5 ,                            0 ,                            0 ,                19 ,                         19 ,                                14 ,                      19 ,                     14 ,0.00                          ,0.00                              ,0.00                        ,525.00                ,                  564
G      ,                3089 ,2021 ,          213 ,             1 ,12/14/2021 ,12/13/2021    ,              22 ,High Performing ,                       28 ,                             5 ,                       11 ,                            20 ,                                 13 ,                            23 ,                       0 ,                            4 ,                      23 ,                          21 ,                           2 ,                               11 ,                                3 ,                          4 ,                          4 ,                          25 ,                           2 ,                            0 ,                            0 ,                32 ,                         27 ,                                21 ,                      27 ,                      7 ,0.00                          ,"2,044.91"                        ,"1,000.00"                  ,"1,200.00"            ,                 1500
G      ,                3090 ,2021 ,          215 ,             1 ,12/14/2021 ,12/13/2021    ,              25 ,High Performing ,                       49 ,                            18 ,                       28 ,                            33 ,                                 10 ,                            55 ,                       4 ,                            5 ,                      63 ,                          31 ,                           7 ,                               20 ,                               10 ,                          4 ,                          4 ,                          40 ,                           9 ,                            5 ,                            2 ,                36 ,                         36 ,                                20 ,                      16 ,                     21 ,"4,090.00"                    ,419.00                            ,0.00                        ,"1,828.00"            ,                 2700
G      ,                3092 ,2021 ,          307 ,             1 ,12/14/2021 ,12/14/2021    ,               9 ,None            ,                      590 ,                            66 ,                      318 ,                           386 ,                                130 ,                           514 ,                       5 ,                           25 ,                     247 ,                         398 ,                         123 ,                              186 ,                               74 ,                          0 ,                          0 ,                         575 ,                         144 ,                            0 ,                            0 ,               376 ,                        134 ,                                15 ,                      92 ,                     30 ,0.00                          ,0.00                              ,0.00                        ,"17,615.00"           ,                51813
G      ,                3093 ,2021 ,          326 ,             1 ,12/14/2021 ,12/13/2021    ,              11 ,None            ,                      247 ,                            35 ,                       73 ,                           102 ,                                 35 ,                           108 ,                       5 ,                           15 ,                     141 ,                         154 ,                          21 ,                               56 ,                               22 ,                          8 ,                          8 ,                         202 ,                          25 ,                            0 ,                            0 ,               170 ,                        112 ,                                41 ,                      57 ,                     18 ,"2,000.00"                    ,"2,000.00"                        ,"2,000.00"                  ,"2,000.00"            ,                 1203
G      ,                3095 ,2021 ,          413 ,             1 ,12/14/2021 ,12/13/2021    ,               9 ,None            ,                       13 ,                             3 ,                       10 ,                             4 ,                                  4 ,                            14 ,                       0 ,                            0 ,                      14 ,                           2 ,                           2 ,                                2 ,                                3 ,                          0 ,                          0 ,                           4 ,                           4 ,                            0 ,                            0 ,                15 ,                         13 ,                                 9 ,                      13 ,                      0 ,0.00                          ,0.00                              ,"1,000.00"                  ,"1,000.00"            ,                  372
G      ,                3099 ,2021 ,          583 ,             1 ,12/14/2021 ,12/14/2021    ,              10 ,None            ,                      241 ,                            38 ,                      108 ,                            44 ,                                 15 ,                            90 ,                       2 ,                            7 ,                      71 ,                         116 ,                          18 ,                               19 ,                               11 ,                          3 ,                          6 ,                         188 ,                          41 ,                           48 ,                           13 ,               140 ,                         76 ,                                22 ,                      54 ,                      6 ,0.00                          ,"1,500.00"                        ,"2,000.00"                  ,"2,500.00"            ,                 2200
G      ,                3100 ,2021 ,          627 ,             1 ,12/14/2021 ,12/13/2021    ,              24 ,High Performing ,                      108 ,                            17 ,                       37 ,                           101 ,                                 44 ,                            92 ,                       2 ,                           13 ,                      89 ,                          70 ,                          10 ,                               52 ,                               10 ,                          4 ,                          4 ,                          63 ,                           9 ,                            0 ,                            0 ,                68 ,                         60 ,                                 2 ,                      58 ,                     35 ,"2,000.00"                    ,250.00                            ,"1,000.00"                  ,"2,100.00"            ,                 2951
G      ,                3101 ,2021 ,           18 ,             1 ,12/15/2021 ,12/14/2021    ,              20 ,Thriving        ,                      130 ,                            17 ,                       49 ,                            48 ,                                 30 ,                            88 ,                       1 ,                           11 ,                      82 ,                          91 ,                          17 ,                               38 ,                               14 ,                          2 ,                          3 ,                          76 ,                          12 ,                            0 ,                            0 ,                95 ,                         51 ,                                20 ,                      32 ,                     46 ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,                 1743
